PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME
COC(=O)C1=CC=C(C=C1)COC(=O)C2=CC=CC=N2,0
CCCCN1C2=C(C(=O)NC1=O)N(C(=N2)CN(C)CC3=C(C(=CC=C3)OC)OC)CCC.C(=O)(C(=O)O)O,1
CC(CCC1=CC=CC=C1)NC(=O)C2=CC=C(O2)Br,0
COC1=CC(=C(C=C1)OC)NC(=O)CN2C(=O)C3=CC=CC=C3S2(=O)=O,0
CCOC(=O)C1=CC=C(C=C1)N2C(=O)CC(C2=O)N3CCCC(C3)C,0
CCNC(=O)NC(=O)C(C)ON1C2=C(C=CC(=C2)S(=O)(=O)N(CC)CC)N=N1,0
CC1=CC(=NC2=NC(=C(N12)NCC3=CC=CC=C3)C4=CC(=CC=C4)OC)C,0
C1=CC(=CC(=C1)N2C=NN=N2)NS(=O)(=O)C3=CC=C(C=C3)Cl,0
C1CN(CCN1CC2=CC=CC=C2F)C(=O)C3=CC=CC4=CC=CC=C43.C(=O)(C(=O)O)O,1
CC1=CC=CN2C1=NC3=C(C2=O)C=C(C(=N)N3CCOC)C(=O)NCCC4=CC=CC=C4,0
C1C=CC2C1C(NC3=C2C=C(C=C3)Br)C(=O)O,1
C1=CC=C2C(=C1)C(=O)N(S2(=O)=O)CC(=O)C3=CC(=C(C=C3)F)F,0
CCOC(=O)CC(C1=CC=C(C=C1)OC(C)C)NC(=O)CCC2=C(N3C(=NC(=N3)C)N=C2C)C,0
CC1=CC(=O)C=CC1=NC2=CC=C(C=C2)N(C)C,1
CC(=O)OC1=CC(=CC(=C1OC(=O)C)OC(=O)C)C(=O)OCC(=O)NC23CC4CC(C2)CC(C4)C3,1
CCC1=CC=C(O1)CCC(=O)NC2=C(C(=C(S2)C)C)C(=O)OC,1
CC1=C(C(N2C(=NC=N2)N1)C3=CC=CO3)C(=O)OC,0
CCN1/C(=C/2\C(=O)N(C(=S)S2)CC)/C=CC3=CC=CC=C31,1
CC1=CC=C(C=C1)S(=O)(=O)/N=C(\C2=CC=CC=C2)/NNC(=O)C3=CC(=CC=C3)Cl,0
CC1=CC=C(C=C1)S(=O)(=O)N(C)C2=CC=CC=C2,0
CC1=CC=CC=C1C2=CC=C3N2CC4=CN=NN4C5=CC=CC=C53,1
C=CCNC(=O)C12CC3CC(C1)CC(C3)(C2)C(=O)NCC=C,0
CCCC1=NC=CC(=C1)C(=S)N,0
